rank,City,avg_rating,review_count,rating_std,avg_polarity,rating_score,volume_score,sentiment_score,hotspot_score
61,Coimbatore,4.2771,5544,0.8179,0.3055,0.7831278312783128,0.7347984129329944,0.4807476635514018,0.708153
62,Mangalore,4.3045,4352,0.8093,0.3136,0.7913479134791348,0.7123645873841132,0.48680373831775714,0.706744
63,Magadi,4.5582,876,0.7827,0.3422,0.867458674586746,0.56386508659906,0.5081869158878506,0.704526
64,Mararikulam,4.4872,1324,0.7573,0.3301,0.8461584615846157,0.6021145070681001,0.49914018691588796,0.703542
65,Mahabalipuram,4.1764,7489,0.834,0.3121,0.7529175291752918,0.762667641157632,0.48568224299065427,0.702396
66,Geyzing,4.6356,365,0.6473,0.4111,0.8906789067890679,0.48286595755930856,0.5597009345794394,0.702139
67,Sinquerim,4.3471,2233,0.8038,0.3636,0.8041280412804128,0.6505338925596498,0.5241869158878505,0.702062
68,Colva,4.4008,1921,0.829,0.3327,0.8202382023820239,0.6365908157124949,0.5010841121495327,0.701313
69,Madurai,4.2032,6406,0.8549,0.3041,0.7609576095760957,0.7481915737189806,0.47970093457943935,0.700876
70,Bambolim,4.7287,188,0.6424,0.4293,0.9186091860918609,0.4216085714023525,0.5733084112149534,0.700449
71,Vypin Island,4.4055,1746,0.7964,0.3394,0.8216482164821648,0.6277420703539687,0.5060934579439252,0.700365
72,Dehradun,4.4287,1500,0.7501,0.3422,0.8286082860828609,0.6136746883611137,0.5081869158878506,0.700044
73,Habra,5.0,1,,1.0,1.0,0.0,1.0,0.7
74,Manali Tehsil,5.0,1,,1.0,1.0,0.0,1.0,0.7
75,Utorda,4.5645,643,0.6791,0.3589,0.8693486934869348,0.5352417262869658,0.5206728971962618,0.699381
76,Tapovan,4.6399,311,0.676,0.4167,0.8919689196891969,0.4680698796266482,0.5638878504672898,0.699183
77,Vrindavan,4.3073,2997,0.8604,0.3262,0.7921879218792187,0.6777987393514945,0.49622429906542065,0.698678
78,Belur,4.3907,1853,0.7591,0.331,0.8172081720817208,0.6332520528225904,0.49981308411214953,0.698542
79,Chundale,4.775,120,0.5098,0.4522,0.9324993249932501,0.3802729787279156,0.5904299065420561,0.698418
80,Rishikesh,4.1729,6674,0.8606,0.3085,0.7518675186751869,0.7519898199158394,0.48299065420560755,0.698129
81,Arpora,4.3396,2273,0.9086,0.3306,0.8018780187801877,0.6521788292135541,0.49951401869158885,0.696495
82,Indore,4.2102,5451,0.8278,0.2969,0.7630576305763058,0.733230648624238,0.4743177570093458,0.696362
83,Ganpatipule,4.378,1820,0.7554,0.3302,0.8133981339813399,0.631587375873967,0.4992149532710281,0.696018
84,Arambol,4.4367,1248,0.8203,0.335,0.8310083100831008,0.5966393951960253,0.502803738317757,0.695057
85,Mussoorie,4.1375,8427,0.9617,0.278,0.7412474124741247,0.7736041692336535,0.46018691588785055,0.694742
86,Mapusa,4.3855,1528,0.8181,0.346,0.815648156481565,0.6153878149729096,0.5110280373831777,0.694646
87,Thrissur,4.2991,2745,0.8107,0.3219,0.7897278972789729,0.6696605709381221,0.49300934579439265,0.694364
88,Jalandhar,4.456,978,0.7383,0.3557,0.8367983679836799,0.5740632436715865,0.5182803738317758,0.694274
89,Gandhinagar,4.4153,1180,0.7708,0.3566,0.8245882458824589,0.5914504661056397,0.5189532710280375,0.69352
90,Lucknow,4.1407,6794,0.8892,0.3022,0.7422074220742206,0.7536413513188192,0.47828037383177574,0.692852
91,Kalimpong,4.3446,1721,0.7816,0.3485,0.8033780337803378,0.6264060750745856,0.5128971962616823,0.69219
92,Kanyakumari,4.1259,6897,0.8887,0.3033,0.7377673776737766,0.7550358191623028,0.4791028037383179,0.691215
93,Lansdowne,4.309,2563,0.8362,0.3032,0.7926979269792699,0.663304207582144,0.47902803738317756,0.691146
94,Taoru,4.5938,352,0.7099,0.3825,0.8781387813878139,0.4795138072051654,0.5383177570093459,0.690587
95,Murdeshwar,4.4716,757,0.7652,0.3609,0.8414784147841478,0.5503487332712108,0.5221682242990655,0.690277
96,Thane,4.3254,2022,0.858,0.3208,0.7976179761797618,0.641337944098398,0.4921869158878505,0.689648
97,Majorda,4.5308,569,0.7117,0.3482,0.8592385923859239,0.5239277964363825,0.5126728971962617,0.689332
98,Jaisalmer,3.9864,13734,1.0319,0.3,0.6959169591695917,0.8188727134214234,0.4766355140186917,0.688947
99,Alappuzha,4.1958,4352,0.8976,0.3008,0.7587375873758738,0.7123645873841132,0.4772336448598131,0.688525
100,Vagator,4.7089,158,0.5789,0.3982,0.9126691266912669,0.40558781467504557,0.5500560747663553,0.688022
101,Calangute,4.232,3194,0.9286,0.3177,0.7695976959769598,0.6836976713741935,0.48986915887850463,0.687882
102,Bhubaneswar,4.1346,6078,0.902,0.2911,0.7403774037740377,0.7433206409111959,0.4699813084112151,0.687181
103,Dispur,5.0,13,0.0,0.5495,1.0,0.1803659209143833,0.6631775700934581,0.686745
