City,review_count,avg_rating,rating_std,min_rating,max_rating,unique_places,unique_reviewers,five_star_rate,rank,dense_rank,row_num,pct_rank,review_pct
Raigad,693,4.088,0.9089,1.0,5.0,31,1,0.3939,246,238,246,0.1357,0.05
Bhavnagar,690,4.2101,0.8369,1.0,5.0,25,1,0.4362,247,239,247,0.1363,0.05
Chamoli,683,4.1611,0.865,2.0,5.0,14,1,0.4275,248,240,248,0.1368,0.05
Belakavadi,682,4.2053,0.903,1.0,5.0,2,1,0.4648,249,241,249,0.1374,0.05
Patnitop,670,4.1448,0.8909,1.0,5.0,10,1,0.4075,250,242,250,0.138,0.05
Malsi,665,4.2541,0.8867,1.0,5.0,1,1,0.4887,251,243,251,0.1385,0.04
Deoghar,657,4.0365,0.9066,1.0,5.0,18,1,0.3607,252,244,252,0.1391,0.04
Chidambaram,656,4.2424,0.8069,2.0,5.0,10,1,0.4482,253,245,253,0.1396,0.04
Lepakshi,654,4.2706,0.8293,1.0,5.0,4,1,0.4755,254,246,254,0.1402,0.04
Dhanaulti,653,4.2496,0.8899,1.0,5.0,4,1,0.4931,255,247,255,0.1407,0.04
Ludhiana,650,4.2108,0.8547,1.0,5.0,27,1,0.4446,256,248,256,0.1413,0.04
Utorda,643,4.5645,0.6791,1.0,5.0,2,1,0.6563,257,249,257,0.1418,0.04
Dandeli,642,4.1745,0.8871,1.0,5.0,7,1,0.4299,258,250,258,0.1424,0.04
Kaza,639,4.0829,0.8348,1.0,5.0,7,1,0.3537,259,251,259,0.1429,0.04
Patiala,635,4.2315,0.7992,2.0,5.0,18,1,0.4346,260,252,260,0.1435,0.04
Santiniketan,633,4.1532,0.7735,2.0,5.0,14,1,0.3712,261,253,261,0.144,0.04
Kargil,628,3.2166,1.2795,1.0,5.0,15,1,0.1863,262,254,262,0.1446,0.04
Ahmednagar,626,4.1869,0.9149,1.0,5.0,25,1,0.4521,263,255,263,0.1452,0.04
Mandi,625,4.3184,0.8201,2.0,5.0,26,1,0.52,264,256,264,0.1457,0.04
Kottagudi,624,4.0529,0.9609,1.0,5.0,1,1,0.3926,265,257,265,0.1463,0.04
Midnapore,624,4.2179,0.8962,1.0,5.0,33,1,0.4696,265,257,266,0.1463,0.04
Kurukshetra,623,4.0546,0.9197,1.0,5.0,18,1,0.3756,267,258,267,0.1474,0.04
Margao,616,4.0731,0.8627,1.0,5.0,16,1,0.3555,268,259,268,0.1479,0.04
