rank,Place,avg_rating,review_count,rating_std,avg_polarity,rating_score,volume_score,sentiment_score,hotspot_score
198,Mandrem Beach,4.5289,605,0.7242,0.3384,0.882225,0.610432491014684,0.6219428571428571,0.748631
199,Salar Jung Museum,4.1781,2690,0.8374,0.3032,0.7945249999999999,0.7697023700768737,0.6018285714285714,0.748539
200,Triveni Ghat,4.3014,1430,0.7708,0.3446,0.82535,0.7022312151174215,0.6254857142857143,0.748442
201,Kumbhalgarh Fort,4.2759,1653,0.838,0.3286,0.818975,0.7177035387757996,0.6163428571428572,0.748067
202,KidZania Delhi NCR,4.5615,431,0.7504,0.391,0.8903749999999999,0.5742733690900291,0.652,0.74787
203,Elephant Beach,4.291,1536,0.8583,0.3296,0.8227500000000001,0.7098656066568524,0.6169142857142857,0.747718
204,Phoenix Marketcity,4.4074,1102,0.8098,0.2939,0.85185,0.6744175504254607,0.5965142857142858,0.747553
205,Rajasthan Small Scale Cottage Industry,4.4829,526,0.7082,0.4181,0.870725,0.595509695375465,0.6674857142857142,0.747513
206,Colaba,4.1975,2203,0.8257,0.3287,0.799375,0.7483737353138478,0.6164,0.74748
207,Taj Falaknuma Palace,4.3827,878,0.7651,0.3804,0.845675,0.6501653328093449,0.6459428571428572,0.747076
208,Aquasail 360' Sailing - Day Adventures in Bambolim and Goa,4.8476,105,0.4109,0.4641,0.9619,0.42417019929741345,0.6937714285714286,0.746955
209,Banasura Sagar Dam,4.3286,1135,0.7791,0.3656,0.83215,0.6775670315235196,0.6374857142857142,0.746842
210,Hauz Khas Village,4.3229,1440,0.8447,0.3049,0.8307249999999999,0.7029752015730384,0.6028,0.746815
211,ISKCON Vrindavan,4.4717,636,0.7344,0.3708,0.8679250000000001,0.615762504907031,0.6404571428571428,0.746783
212,Marina Beach,4.1211,3643,0.9741,0.2644,0.780275,0.8020917519193077,0.5796571428571429,0.746696
213,Keoladeo National Park,4.2624,1650,0.821,0.3318,0.8156000000000001,0.7175095852763371,0.6181714285714285,0.746687
214,Vivekananda Rock Memorial,4.2066,2164,0.8521,0.3138,0.80165,0.7464663351846683,0.6078857142857144,0.746342
215,Viceregal Lodge,4.2972,1430,0.7868,0.3303,0.8243,0.7022312151174215,0.6173142857142857,0.746282
216,Dainkund Peak,4.3801,963,0.7663,0.3497,0.8450249999999999,0.6600269811799881,0.6284,0.746201
217,Asdani Adventures,4.823,113,0.4673,0.4625,0.9557500000000001,0.4319435193652361,0.6928571428571428,0.746029
218,Elejungle,4.6989,186,0.6863,0.4575,0.924725,0.4848177536434451,0.6900000000000001,0.745808
219,Sri Chamundeshwari Temple,4.2005,2189,0.8479,0.3108,0.800125,0.7476929390520334,0.6061714285714286,0.745605
220,Jaipur Wax Museum,4.5768,267,0.7129,0.4866,0.8942000000000001,0.5232657268803387,0.7066285714285714,0.745405
221,Prinsep Ghat,4.4581,633,0.7128,0.3741,0.864525,0.6152581639706896,0.6423428571428571,0.745309
222,Basilica of Bom Jesus,4.2011,2089,0.8152,0.3197,0.8002750000000001,0.7426996927803069,0.6112571428571429,0.745199
223,Top Station,4.2187,1765,0.859,0.3464,0.804675,0.7247034890351711,0.6265142857142857,0.745051
224,The Basilica of the Sacred Heart of Jesus,4.423,773,0.724,0.3505,0.85575,0.6365743992057961,0.6288571428571429,0.744619
225,"ISKCON Bangalore, Sri Sri Lakshmi Narasimha Temple",4.4866,561,0.7048,0.3699,0.87165,0.6023793907035595,0.639942857142857,0.744527
226,Heritage Transport Museum,4.5954,351,0.7102,0.3819,0.8988499999999999,0.552393948453339,0.6467999999999999,0.744503
227,Upper Lake,4.5,542,0.7213,0.3645,0.875,0.5987050295721836,0.6368571428571429,0.744483
228,The Forum Vijaya Mall,4.58,419,0.7123,0.3479,0.895,0.5712637046226484,0.6273714285714286,0.744353
229,Jalavihar Water Park,4.6098,287,0.7579,0.4207,0.90245,0.5309550893616966,0.6689714285714287,0.744306
230,Kothari's Patwaon-Ki-Haveli,4.2362,1609,0.8287,0.3464,0.80905,0.7148229813009023,0.6265142857142857,0.744275
