City,avg_polarity,avg_subjectivity,review_count,dominant_sentiment
Bhagsu Nag,0.3284,0.5905,76,Positive
Thottada,0.3283,0.5788,171,Positive
Jagdalpur,0.3283,0.5604,351,Positive
Mysuru (Mysore),0.3282,0.5649,22741,Positive
Ankola,0.3282,0.6226,7,Positive
Joshimath,0.3282,0.5777,235,Positive
Hosur,0.3279,0.5571,152,Positive
Adilabad,0.3279,0.5857,242,Positive
Kasaragod,0.3277,0.5627,952,Positive
Karsha,0.3276,0.4845,12,Positive
Masinagudi,0.3275,0.6106,65,Positive
Singalila National Park,0.3275,0.5685,234,Positive
Kanpur,0.3274,0.538,1084,Positive
Shivpuri,0.3274,0.5957,158,Positive
Jabalpur,0.3274,0.5719,2409,Positive
Sohna,0.3273,0.5678,23,Positive
Kamavarapukota,0.3271,0.4097,6,Positive
Amalapuram,0.3271,0.6154,35,Positive
Ranchi,0.3268,0.5683,1577,Positive
Thamarassery,0.3267,0.5988,132,Positive
Mandi,0.3267,0.5755,625,Positive
Gajner,0.3267,0.5778,193,Positive
Wokha,0.3267,0.6129,18,Positive
Ukhrul,0.3266,0.5189,19,Positive
Dharchula,0.3263,0.4923,21,Positive
Vrindavan,0.3262,0.5763,2997,Positive
Tirumala,0.3262,0.5966,83,Positive
Rourkela,0.3261,0.5563,364,Positive
Hanle,0.326,0.5266,27,Positive
Solan,0.3258,0.5447,320,Positive
Bengaluru,0.3254,0.5549,54733,Positive
Durg,0.3253,0.5613,163,Positive
Maheshwar,0.3253,0.5383,534,Positive
Sikandra,0.3251,0.5726,22,Positive
Khurja,0.325,0.6185,3,Positive
Kannur,0.325,0.5621,2436,Positive
Prantij,0.3246,0.5557,10,Positive
Sattal,0.3244,0.5652,222,Positive
Idukki,0.3244,0.5784,85,Positive
Bargarh,0.3243,0.5417,24,Positive
Karjat Town,0.3242,0.6151,125,Positive
Rawatbhata,0.3241,0.5681,35,Positive
Barmer,0.3239,0.5684,166,Positive
Divar Island,0.3239,0.5941,23,Positive
Kannan Devan Hills,0.3238,0.589,315,Positive
Warangal,0.3237,0.5294,818,Positive
Saputara,0.3237,0.5613,1618,Positive
Jaipur,0.3235,0.5594,37717,Positive
Satara,0.3235,0.5659,1045,Positive
Hazaribagh,0.3234,0.563,100,Positive
Pulinkunnu,0.3233,0.69,5,Positive
Kumbhalgarh,0.3233,0.566,1899,Positive
Pasighat,0.3229,0.5185,10,Positive
Vadodara,0.3229,0.5365,5699,Positive
